borough,date,count
Bronx,2006,2515
Bronx,2007,2922
Bronx,2008,3491
Bronx,2009,3782
Bronx,2010,4016
Bronx,2011,3827
Bronx,2012,2643
Bronx,2013,1984
Brooklyn,2006,3268
Brooklyn,2007,3471
Brooklyn,2008,3578
Brooklyn,2009,3565
Brooklyn,2010,3288
Brooklyn,2011,3340
Brooklyn,2012,2896
Brooklyn,2013,2240
Manhattan,2006,1756
Manhattan,2007,1847
Manhattan,2008,1983
Manhattan,2009,1911
Manhattan,2010,1754
Manhattan,2011,1682
Manhattan,2012,1627
Manhattan,2013,1144
Queens,2006,2585
Queens,2007,2506
Queens,2008,2266
Queens,2009,2109
Queens,2010,2362
Queens,2011,2418
Queens,2012,1932
Queens,2013,1397
Staten Island,2006,606
Staten Island,2007,597
Staten Island,2008,695
Staten Island,2009,715
Staten Island,2010,795
Staten Island,2011,646
Staten Island,2012,472
Staten Island,2013,422
Bronx,2014,1648
Brooklyn,2014,1853
Manhattan,2014,791
Queens,2014,981
Staten Island,2014,323
Bronx,2015,1479
Brooklyn,2015,1698
Manhattan,2015,890
Queens,2015,756
Staten Island,2015,278
Bronx,2016,1216
Brooklyn,2016,1344
Manhattan,2016,712
Queens,2016,664
Staten Island,2016,264
Bronx,2017,986
Brooklyn,2017,1315
Manhattan,2017,608
Queens,2017,760
Staten Island,2017,207
