PUBLICATION DATE,date,revenueCategory,revenueClass,amount,REMARK
20171130,2002,Taxes,Real Property Tax,8761,
20171130,2002,Taxes,Sales Tax,3360,
20171130,2002,Taxes,Personal Income Tax,4990,
20171130,2002,Taxes,Other Taxes,2618,
20171130,2002,Taxes,Business Taxes,2440,
20171130,2002,Miscellaneous Revenue,Rental,115,
20171130,2002,Miscellaneous Revenue,Charges,461,
20171130,2002,Miscellaneous Revenue,Fines & Forfeitures,485,
20171130,2002,Miscellaneous Revenue,Franchises,214,
20171130,2002,Miscellaneous Revenue,Interest,81,
20171130,2002,Miscellaneous Revenue,Licenses,47,
20171130,2002,Miscellaneous Revenue,Miscellaneous,1383,
20171130,2002,Miscellaneous Revenue,Permits,95,
20171130,2002,Miscellaneous Revenue,Water & Sewer,858,
20171130,2002,Unrestricted Intergovernmental Aid,Unrestricted Intergovernmental Aid,666,
20171130,2002,Disallowance of Categorical Grants,Disallowance of Categorical Grants,0,
20171130,2002,Federal Categorical Grants,Social Services,2541,
20171130,2002,Federal Categorical Grants,Education,1364,
20171130,2002,Federal Categorical Grants,Community Development,281,
20171130,2002,Federal Categorical Grants,Other,1911,
20171130,2002,State Categorical Grants,Education,5592,
20171130,2002,State Categorical Grants,Other,290,
20171130,2002,State Categorical Grants,Social Services,1585,
20171130,2002,State Categorical Grants,Higher Education,129,
20171130,2002,State Categorical Grants,Health and Mental Hygiene,434,
20171130,2002,Other Categorical Grants,Other Categorical Grants,615,
20171130,2002,Capital IFA,Capital IFA,305,
20171130,2002,TOTAL CITYWIDE REVENUES,TOTAL CITYWIDE REVENUES,41621,
20171130,2003,Taxes,Sales Tax,3535,
20171130,2003,Taxes,Business Taxes,2282,
20171130,2003,Taxes,Real Property Tax,10063,
20171130,2003,Taxes,Personal Income Tax,5000,
20171130,2003,Taxes,Other Taxes,3017,
20171130,2003,Miscellaneous Revenue,Licenses,46,
20171130,2003,Miscellaneous Revenue,Charges,501,
20171130,2003,Miscellaneous Revenue,Fines & Forfeitures,549,
20171130,2003,Miscellaneous Revenue,Interest,44,
20171130,2003,Miscellaneous Revenue,Permits,99,
20171130,2003,Miscellaneous Revenue,Rental,109,
20171130,2003,Miscellaneous Revenue,Water & Sewer,846,
20171130,2003,Miscellaneous Revenue,Franchises,212,
20171130,2003,Miscellaneous Revenue,Miscellaneous,2242,
20171130,2003,Unrestricted Intergovernmental Aid,Unrestricted Intergovernmental Aid,1443,
20171130,2003,Disallowance of Categorical Grants,Disallowance of Categorical Grants,-47,
20171130,2003,Federal Categorical Grants,Other,1247,
20171130,2003,Federal Categorical Grants,Education,1595,
20171130,2003,Federal Categorical Grants,Social Services,2550,
20171130,2003,Federal Categorical Grants,Community Development,226,
20171130,2003,State Categorical Grants,Other,358,
20171130,2003,State Categorical Grants,Higher Education,133,
20171130,2003,State Categorical Grants,Social Services,1576,
20171130,2003,State Categorical Grants,Education,5834,
20171130,2003,State Categorical Grants,Health and Mental Hygiene,416,
20171130,2003,Other Categorical Grants,Other Categorical Grants,1006,
20171130,2003,Capital IFA,Capital IFA,300,
20171130,2003,TOTAL CITYWIDE REVENUES,TOTAL CITYWIDE REVENUES,45182,
20171130,2004,Taxes,Business Taxes,2863,
20171130,2004,Taxes,Sales Tax,4018,
20171130,2004,Taxes,Real Property Tax,11582,
20171130,2004,Taxes,Personal Income Tax,6093,
20171130,2004,Taxes,Other Taxes,3718,
20171130,2004,Miscellaneous Revenue,Fines & Forfeitures,697,
20171130,2004,Miscellaneous Revenue,Charges,592,
20171130,2004,Miscellaneous Revenue,Franchises,223,
20171130,2004,Miscellaneous Revenue,Interest,30,
20171130,2004,Miscellaneous Revenue,Water & Sewer,885,
20171130,2004,Miscellaneous Revenue,Rental,108,
20171130,2004,Miscellaneous Revenue,Miscellaneous,683,
20171130,2004,Miscellaneous Revenue,Permits,107,
20171130,2004,Miscellaneous Revenue,Licenses,45,
